product_id,name,category,price
1,Cranberry Pecan Granola,Food - Breakfast Foods,3.99
2,,Kitchen,10.99
3,Coconut Granola,Food - Snacks,4.19
4,Arcade Game Machine,Gaming,299.99
5,LED Christmas Lights,Home,29.99
6,Hydration Backpack,Outdoor,39.99
7,Chia Seed Pudding Mix,Food - Breakfast,4.19
8,,Apps,24.99
9,Coconut Flakes,Food - Baking,3.29
10,Coconut Water,Food - Beverages,2.49
11,Pet Leash,Pets,15.99
12,Athletic Sports Bra,Clothing - Activewear,24.99
13,Interactive Robot Toy,Toys,34.99
14,Adjustable Window Blind,Home,49.99
15,Pet Reflective Vest,Pets,18.99
16,Peanut Butter Granola,Food - Breakfast,4.99
,Fashionable Belt Bag,Accessories,34.99
18,Sweet Pea Hummus,Food - Dips,4.29
19,Portable Massage Table,Health,199.99
20,Ramen Noodle Soup Cups,Food - Prepared Meals,1.29
21,Instant Camera,Photography,89.99
22,Electric Milk Frother,Kitchen,19.99
23,Blueberry Oatmeal Cups,Food - Breakfast,3.29
24,Organic Tomato Soup,Food - Canned Goods,3.79
25,Spicy Roasted Nuts,Food - Snacks,4.99
26,Honey Roasted Peanuts,Food - Snacks,3.19
27,Cilantro Lime Rice,Food - Grains,2.99
28,Chilli Lime Corn on the Cob,Food - Vegetable,1.99
29,Outdoor Camping Lantern,Outdoor,34.99
30,Brownie Bites,Food - Baked Goods,4.99
31,Compact Umbrella,Accessories,12.99
32,Coconut Cashew Yogurt,Food - Dairy Alternatives,1.99
33,Stylish Wide-Leg Trousers,Clothing - Bottoms,59.99
34,Children's Art Set,Toys,34.99
35,Smartphone Tripod with Bluetooth Remote,Photography,29.99
36,Scented Soy Candles,Home,19.99
37,Rustic Wooden Picture Frame,Home,19.99
38,Pecan Pie Filling,Food - Baking Goods,3.99
39,Lemon Basil Pasta Sauce,Food - Sauces,4.99
40,Mixed Berry Smoothie Pack,Food - Frozen Food,5.99
41,Cookbook,Books,27.99
42,Italian Pasta,Food - Grains,2.29
43,Orange Ginger Vinaigrette,Food - Condiments,3.99
44,Kids' Outdoor Explorer Kit,Toys,24.99
45,Pumpkin Pancake Mix,Food - Breakfast,4.19
46,Roasted Red Pepper Hummus,Food - Dips,3.49
47,Smart Thermos,Fitness,39.99
48,Essential Oils Diffuser Necklace,Health,19.99
49,Heated Throw Blanket,Home,49.99
50,Phone Case,Accessories,14.99
51,Deep Tissue Massage Gun,Health,89.99
52,Eggs (dozen),Food - Dairy,2.99
53,Rechargeable Battery Organizer,Home,17.99
54,Classic Bagels,Food - Bakery,2.99
55,LED Christmas Tree Lights,Home,34.99
56,Asian Noodle Salad Kit,Food - Salads,4.99
57,Organic Vanilla Bean Ice Cream,Food - Frozen Desserts,5.99
58,Chocolate Coconut Protein Balls,Food - Snacks,2.99
59,Red Lentils,Food - Grains,1.99
60,Blueberry Chia Jam,Food - Spreads,4.99
61,Pumpkin Spice Muffins,Food - Bakery,3.99
62,Savory Oatmeal Cups,Food - Breakfast,1.99
63,Dark Chocolate Almond Butter Cups,Food - Snacks,4.99
64,Puzzle Game Set,Toys,34.99
65,Solar Garden Lights,Outdoor,39.99
66,Biodegradable Dog Waste Bags,Pets,14.99
67,Wireless Charger,Accessories,24.99
68,Tattoo Kit,Art Supplies,99.99
69,Classic Cheeseburger Mix,Food - Meats,5.49
70,Vegetable Lasagna,Food - Frozen Foods,6.99
71,Wireless HDMI Receiver,Electronics,49.99
72,Hiking Gaiters,Outdoor,29.99
73,Rustic Wooden Picture Frame,Home,19.99
74,Reversible Comforter Set,Home,89.99
75,,Food - Prepared Foods,8.99
76,Sweet and Sour Sauce,Food - Condiments,2.79
77,Vegetable Potstickers,Food - Frozen Food,5.99
78,Beef Jerky,Food - Snacks,5.99
79,Ice Cube Tray with Lid,Kitchen,10.99
80,Air Mattress,Outdoor,49.99
81,Portable Jump Starter,Automotive,59.99
82,Mediterranean Couscous,Food - Grains,3.59
83,Magnetic Screen Door,Outdoor,24.99
84,Smart Scale,Health,59.99
85,,Smart Home,169.99
86,Educational STEM Kit,Toys,35.99
87,Granola Cereal,Food - Breakfast,4.49
88,Savory Pumpkin Soup,Food - Soups,3.89
89,Honey Roasted Almonds,Food - Snacks,4.99
90,Personal Blender with Travel Cup,Kitchen,39.99
91,Silicone Stretch Lids,Kitchen,14.99
92,Dried Apricots,Food - Dried Fruits,3.79
93,Wireless Induction Charger,Electronics,19.99
94,Magnet Travel Fridge Magnets,Accessories,12.99
95,Wall-Mounted Organizer,Home,34.99
,Spinach Feta Wraps,Food - Deli,4.29
97,Home Cleaning Robot,Home Appliances,249.99
98,Faux Fur Coat,Clothing - Coats,129.99
99,Sesame Garlic Stir-Fry Sauce,Food - Sauces,2.79
100,Tortilla Chips,Food - Snacks,2.99
101,Pet Bed,Pets,39.99
102,Craft Beer Mustard,Food - Condiments,3.99
103,Yoga Wheel,Fitness,34.99
104,Phone Screen Protector,Accessories,12.99
105,Chipotle Black Bean Burger,Food - Meats,4.99
106,Almond Crunch Granola Bars,Food - Snacks,3.49
107,Truffle Parmesan Fries,Food - Snacks,4.99
108,Peanut Butter Banana Smoothie Mix,Food - Beverages,4.49
109,Wireless Security Camera,Home,109.99
110,Electric Skillet,Kitchen,49.99
111,Garlic Parmesan Wings,Food - Frozen Foods,8.99
112,Indestructible Dog Toy,Pets,15.99
113,Snap-On Tupperware Set,Kitchen,34.99
114,Chickpea Snack Mix,Food - Snacks,3.49
115,,Smart Home,34.99
116,Pineapple Salsa,Food - Condiments,4.29
117,V-Neck Sweater,Clothing - Tops,49.99
118,Wooden Blocks,Toys,24.99
119,Smartphone Camera Lens Kit,Photography,19.99
120,Coconut Chia Pudding,Food - Dairy,3.49
121,Watercolor Brush Pens,Art Supplies,19.99
122,Berries Medley,Food - Produce,6.99
123,Maple Pecan Oatmeal Cookies,Food - Bakery,3.99
124,Roasted Vegetable Medley,Food - Frozen Foods,3.99
125,Veggie Burger Patties,Food - Meat Substitutes,5.99
126,Organic Tomato Soup,Food - Canned Goods,3.79
127,Adjustable Kneeling Pad,Garden,18.99
128,Insulated Coffee Mug,Kitchen,24.99
129,Memory Foam Mattress Pad,Home,69.99
130,Sun-Dried Tomato Pesto,Food - Condiments,4.49
131,Indian Curry Sauce,Food - Condiments,
132,Yoga Strap,Fitness,12.99
133,Almond Coconut Granola,Food - Breakfast Foods,3.99
134,Rechargeable Hand Warmer,Accessories,22.99
135,Yoga Strap,Fitness,12.99
136,Pasta Maker Machine,Kitchen,59.99
137,Portable Water Filter,Outdoor,29.99
138,Pork Chops,Food - Meat,9.49
139,Trackpad for Laptop,Accessories,49.99
140,High-Speed Blender,Kitchen,99.99
141,Travel Hair Straightener,Beauty,29.99
142,Smartphone Photography Ring Light,Photography,29.99
143,Adjustable Height Standing Desk Converter,Office,89.99
144,Electric Screwdriver,Tools,59.99
145,Rice Cakes,Food - Snacks,2.29
146,Lightweight Travel Backpack,Travel,39.99
147,Stainless Steel Mixing Bowls,Kitchen,29.99
148,Salsa Verde,Food - Condiments,3.49
149,,Clothing - Footwear,99.99
150,Personal Blender with Travel Cup,Kitchen,39.99
151,Essential White Button-Up,Clothing - Shirts,44.99
152,Infrared Thermometer,Health,39.99
153,Sushi Rice,Food - Grains,3.99
154,Summer Tank Dress,Clothing - Dresses,39.99
155,Ricotta Cheese,Food - Dairy,4.99
156,Caribbean Jerk Marinade,Food - Marinades,3.79
157,Fridge Magnet Set,Home,15.99
158,Whole Grain Hamburger Buns,Food - Bakery,2.69
159,Pet Camera with Treat Dispenser,Pets,149.99
160,Bird Feeder,Outdoor,24.99
161,,Pets,39.99
162,Non-Stick Crepe Pan,Kitchen,29.99
163,Frozen Salmon Filets,Food - Seafood,12.99
164,Siphon Coffee Maker,Kitchen,49.99
165,Kale & Quinoa Salad Mix,Food - Salads,4.49
166,Spicy Avocado Salsa,Food - Condiments,4.49
167,High-Speed Blender,Kitchen,99.99
168,Red Lentils,Food - Grains,1.99
169,Chocolate Fudge Brownie Mix,Food - Baking,2.99
170,Whole Grain Cereal,Food - Breakfast,3.49
171,Non-Stick Baking Sheet,Kitchen,18.99
172,Pineapple Coconut Bars,Food - Snacks,3.79
173,Travel Organizer,Travel,22.99
174,Honey Lemon Tea,Food - Beverages,3.29
175,Rainbow Veggie Chips,Food - Snacks,3.29
176,Ethical Wool Scarf,Clothing - Accessories,29.99
177,Personalized Keychain,Accessories,10.99
178,Artisan Bread,Food - Bakery,4.59
179,Mechanical Keyboard,Computers,99.99
180,Basil Lemonade,Food - Beverages,2.99
181,Oven-Baked Cheese Crisps,Food - Snacks,3.99
182,,Food - Snacks,6.99
183,Tomato Basil Soup,Food - Canned Goods,3.49
184,Pumpkin Seeds,Food - Snacks,2.79
185,Organic Green Tea,Food - Beverages,4.29
186,Herbal Tea Variety Pack,Food - Beverages,4.99
187,Handheld Garment Steamer,Home,34.99
188,Woven Storage Baskets,Home,24.99
189,,Home,34.99
190,Classic White T-Shirt,Clothing - Tops,19.99
191,Marinara Parmesan Baked Ziti,Food - Frozen Meals,8.49
192,Warm Wool Sweater,Clothing - Tops,59.99
193,Graphic Sweatshirt,,34.99
194,Peanut Butter Granola,Food - Breakfast,4.99
195,Organic Baby Spinach,Food - Produce,2.99
196,Nutty Quinoa Salad,Food - Salads,4.99
197,Mechanical Pencil Set,Office,19.99
198,Raspberry Limeade,Food - Beverages,1.99
199,Chocolate Chip Cookie Dough,Food - Baking,5.49
200,Smart Plug,Smart Home,19.99
201,Vegetable Medley,Food - Produce,2.99
202,Lemon Herb Quinoa,Food - Grains,3.49
203,,Audio,39.99
204,Ceramic Planter Set,Home,39.99
205,Black Bean Soup,Food - Soups,3.49
206,Balsamic Vinaigrette,Food - Dressings,2.69
207,Glass Food Containers,Kitchen,34.99
208,Self-Stirring Mug,Kitchen,19.99
209,Cranberry Juice,Food - Beverages,3.69
210,Smartphone Camera Lens Kit,Photography,19.99
211,Energy Protein Bars,Food - Snacks,2.29
,Watercolor Brush Pens,Art Supplies,19.99
213,Electric Kettle,Kitchen,39.99
214,Maple Almond Granola,Food - Breakfast,5.49
215,Scent Diffuser,Home,34.99
216,Infrared Space Heater,Home Appliances,99.99
217,Wrist Support Brace,Health,19.99
218,,Food - Bakery,6.49
,Protein Pancake Mix,Food - Breakfast,3.99
220,Rustic Wooden Picture Frame,Home,19.99
221,Toilet Paper (12 rolls),Food - Household,8.99
222,Ramen Noodles,Food - Pasta,0.99
223,Foot Massager,Health,79.99
